"";"genes";"logFC.RNA";"AveExpr.RNA";"t.RNA";"P.Value.RNA";"adj.P.Val.RNA";"B.RNA";"logFC.ATAC";"AveExpr.ATAC";"t.ATAC";"P.Value.ATAC";"adj.P.Val.ATAC";"B.ATAC"
"100";"ACAP2";0,116231419844157;5,99519866238011;0,446483267836772;0,659743032331196;0,999809857860324;-4,74725088408811;0,269237464080136;7,11484580261794;3,52831184482704;0,00225305789953723;0,0212735145410424;-1,84543671835139
"101";"ACAP3";-0,0806604212902498;6,63302183993397;-0,760640127735086;0,455189453582958;0,999809857860324;-4,68717665079499;0,177917587293864;4,86600483738421;2,21960970619781;0,0388453738586134;0,132682219634197;-4,4262536172345
"102";"ACAT1";0,0307309188437612;4,45963056331156;0,109879485741366;0,913531030426358;0,999809857860324;-4,73120487110641;0,13446604274716;5,58773718078048;1,57111912067332;0,132700178351194;0,273323292929603;-5,6066021626473
"103";"ACAT2";0,214132876877951;5,79348071748226;0,929145631538227;0,363198307093741;0,999809857860324;-4,64442524815439;0,206409182838429;6,23266616296132;2,26493239459539;0,0354319503831893;0,125545860136187;-4,47838070312438
"104";"ACBD3";-0,0831220519060265;5,15929274079321;-0,59164134739968;0,560302678094113;0,999809857860324;-4,71123215274333;0,0417373471449105;5,22933870925528;0,528155621587444;0,603521183694333;0,729073170921372;-6,61816634410719
"105";"ACBD4";0,0305821810735432;3,4778592893775;0,188713143061292;0,852099610262311;0,999809857860324;-4,70119554208632;0,13961662547426;6,35240506855913;2,33547588140406;0,0306652974998955;0,115016282787289;-4,34370036469647
"106";"ACBD5";0,126080029240837;5,39864896038136;0,760615133981067;0,455204072811398;0,999809857860324;-4,68305123363567;-0,0372490785071395;5,56976413660375;-0,559972699556233;0,582056897097692;0,712756782347652;-6,64942900982523
"107";"ACBD6";-0,0499284651174161;4,96446304464844;-0,536218548970566;0,597349576412761;0,999809857860324;-4,71796981182357;0,0843250962854825;5,5415565892188;1,00228290631948;0,328832703594639;0,487129810141024;-6,2966900131448
"108";"ACBD7";-0,63238934599494;0,432252049397039;-1,25295757117078;0,223768055168444;0,999809857860324;-4,58389313233276;0,25990810272143;5,69762712874321;3,38107018248604;0,00314436303631742;0,0268632761934497;-2,18324432609521
"109";"ACCS";-0,324749948113784;3,20534743406684;-1,21643866472894;0,237092901956317;0,999809857860324;-4,5641077906121;-0,236047843004753;6,26562881292686;-3,33974367686878;0,0034516615089321;0,0286476728239127;-2,28130305637666
"110";"ACD";0,1217787562825;5,69051837786391;1,04266628842307;0,308763829635705;0,999809857860324;-4,61070426467531;0,096391710237401;6,23636224254493;1,65337673502365;0,114722927632523;0,250406303450597;-5,5085245596663
"111";"ACE";-0,891182574235103;1,08689634897565;-0,621590442949694;0,540790953541638;0,999809857860324;-4,61221283625181;-0,139088416273299;3,61463194843794;-0,710446818174124;0,486078187435103;0,632534312588632;-6,0375070982415
"112";"ACER2";0,0247834394125205;0,0761563986712435;0,0751112422834924;0,940825412709602;0,999809857860324;-4,61769865895052;0,0543819926937372;5,24318163016079;0,807768363504646;0,429246288368629;0,58251666048629;-6,43945315295621
"113";"ACER3";0,0385496453573486;4,350291311321;0,271097337427575;0,788919455116408;0,999809857860324;-4,72712628507924;0,118916175947372;4,44923841510495;1,31747810161287;0,20338409111334;0,357139928278299;-5,72859909794859
"114";"ACIN1";0,011660095820206;8,13815759319213;0,131708063919275;0,896448252821954;0,999809857860324;-4,76015749115365;0,257287342244457;6,01025547730887;4,51197457734152;0,000239957974982711;0,00541330303052091;0,320892390780987
"115";"ACKR2";-0,225265072941576;1,22958142451727;-0,694158959157669;0,495065616757019;0,999809857860324;-4,61666667241501;0,245029006686307;4,95471684384286;2,97435145465647;0,00780637488417627;0,0479424555814849;-2,9553164015784
"116";"ACKR3";-0,766843717972141;1,99496049641042;-0,886809082618911;0,385060438671577;0,999809857860324;-4,60419629749432;-0,0318258861346958;4,43297620589741;-0,261103799047856;0,796828634928854;0,871442456678981;-6,51565172527046
"117";"ACKR4";-0,0380927700913406;0,0923956865984183;-0,030333711707624;0,976082630492202;0,999809857860324;-4,61094650021046;-0,374716562447848;0,851395755151995;-0,748651999700333;0,463257455503131;0,612534854403943;-5,06864249308241
"118";"ACLY";0,0196850028822979;8,17150650991182;0,180592181843019;0,858390604546628;0,999809857860324;-4,75808843795359;0,0810395726516013;5,9371464121173;1,47652352609508;0,156226493022436;0,302808314607078;-5,76216702295403
"119";"ACO1";-0,620774393362064;4,90999616588675;-1,37130634126008;0,184518829453995;0,999809857860324;-4,50702314146215;-0,143012645367639;4,41921013678124;-1,53305382352081;0,141786052808124;0,285313674547812;-5,4282945578823
