"";"x"
"906";"AR"
"907";"THSD4"
"908";"IL6"
"909";"PTPRQ"
"910";"LOC105374996"
"911";"TRA-TGC2-1"
"912";"TRT-CGT3-1"
"913";"TRA-AGC4-1"
"914";"LOC100506731"
"915";"NXPH2"
"916";"LOC105376993"
"917";"SH3TC2"
"918";"LOC105370275"
"919";"LOC105372915"
"920";"ADGRG7"
"921";"LOC100996345"
"922";"LOC105371272"
"923";"PRDM6"
"924";"LOC105375251"
"925";"LOC105369806"
"926";"LOC105370338"
"927";"LOC105376488"
"928";"LINC00911"
"929";"LOC105376828"
"930";"LINC00506"
"931";"LOC101928474"
"932";"LOC105371225"
"933";"CTB-78F1.2"
"934";"LOC105369497"
"935";"LOC101927521"
"936";"LOC102723549"
"937";"TMEM14E"
"938";"RNA5SP48"
"939";"LOC101929325"
"940";"DLX5"
"941";"GPR156"
"942";"LOC101929232"
"943";"METTL11B"
"944";"CNTN6"
"945";"LOC105376924"
"946";"LOC105376923"
"947";"LOC105373178"
"948";"LOC105377556"
"949";"LOC102725220"
"950";"LOC105370124"
"951";"LOC102723956"
"952";"LOC105376214"
"953";"LOC105373170"
"954";"LINC01341"
"955";"MIR4497"
"956";"LOC105376209"
"957";"LOC105377117"
"958";"CFH"
"959";"EDAR"
"960";"LINC00968"
"961";"ATP8B1"
"962";"LOC105376235"
"963";"NAT2"
"964";"SUMO2P6"
"965";"RNA5SP241"
"966";"TRS-TGA2-1"
"967";"TRQ-CTG2-1"
"968";"TRS-AGA4-1"
"969";"LOC105371209"
"970";"LOC105370177"
"971";"LOC105376833"
"972";"LMX1A"
"973";"LOC105371014"
"974";"KRT39"
"975";"ANXA10"
"976";"LOC105374664"
"977";"LOC105375926"
"978";"DLGAP1-AS4"
"979";"LINC00161"
"980";"KIF28P"
"981";"LOC101929586"
"982";"DISC2"
"983";"LINC01539"
"984";"LOC105375171"
"985";"PPP1R1C"
"986";"ABCC9"
"987";"LOC105371973"
"988";"LOC105371974"
"989";"LOC102724482"
"990";"MIR2278"
"991";"NNMT"
"992";"LOC105376643"
"993";"LOC101928156"
"994";"LOC100129484"
"995";"LOC105377043"
"996";"LOC105372541"
"997";"IQCJ-SCHIP1"
"998";"LOC105377808"
"999";"LOC105369919"
"1000";"LOC105369918"
"1001";"LOC105369617"
"1002";"LOC105372249"
"1003";"RNA5SP227"
"1004";"SCN7A"
"1005";"LOC105376375"
"1006";"SLC15A1"
"1007";"LOC105370330"
"1008";"HTR1D"
"1009";"SLC35F4"
"1010";"WFDC5"
"1011";"BCO1"
"1012";"RASGRF1"
"1013";"LOC105370917"
"1014";"LOC105377150"
"1015";"LOC105376079"
"1016";"LOC101928404"
"1017";"MIR4662B"
"1018";"MIR4662A"
"1019";"LOC105375508"
"1020";"LOC105373141"
"1021";"SH3PXD2A-AS1"
"1022";"THRB"
"1023";"PRR26"
"1024";"LOC105376339"
"1025";"LOC105369564"
"1026";"LOC285768"
"1027";"LOC105377413"
"1028";"INTU"
"1029";"TWIST2"
"1030";"LOC105372568"
"1031";"PTPRZ1"
"1032";"LOC105375328"
"1033";"TRR-TCT5-1"
"1034";"COL11A1"
"1035";"LOC105377985"
"1036";"SH3RF1"
"1037";"MMP1"
"1038";"GRIA1"
"1039";"KCTD4"
"1040";"PIRC66"
"1041";"LOC105373737"
"1042";"TRS-AGA1-1"
"1043";"KCNK2"
"1044";"LOC105378045"
"1045";"LOC105376961"
"1046";"LOC105376960"
"1047";"TGM3"
"1048";"LOC105372356"
"1049";"LOC105377853"
"1050";"UBE2Q2L"
"1051";"LOC105370937"
"1052";"LOC105374537"
"1053";"CACNA1C-IT3"
"1054";"CYR61"
"1055";"ITGA2"
"1056";"SASH1"
"1057";"BICC1"
"1058";"LOC101927296"
"1059";"CDSN"
"1060";"RBMS3-AS3"
"1061";"LOC101927969"
"1062";"CACNA2D3-AS1"
"1063";"LOC105372130"
"1064";"MIR8082"
"1065";"SCARA3"
"1066";"LINC01549"
"1067";"ANKRD55"
